s4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r3	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	acc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r3	5	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
s4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r3	6	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0	s7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	s9	s11	0	0	0	0	0	s10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	s12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r4	r4	0	0	0	0	0	0	0	0	0	0	0	r4	0	r4	r4	0	0	r4	r4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s14	0	0	0	0	0	0	0	0	0	r20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
0	s23	0	0	s17	s18	s19	0	0	s22	0	s24	0	0	0	0	0	0	0	0	0	0	0	0	15	16	20	21	0	0	0	0	0	0	0	0	0
r5	r5	0	0	0	0	0	0	0	0	0	0	0	r5	0	r5	r5	0	0	r5	r5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	s25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
